Talsu novads,Talsu apriņķis,Bērni,Talsu novada Ģibuļu pagasta Pastendes pamatskolas bērnu deju kolektīvs “Jumalēni”   ,Lelde Hodjačika,"40,8",I pakāpe,"40,8",0
Limbažu novads,Limbažu apriņķis,Bērni,"Limbažu Kultūras nama Bērnu deju kolektīvs ""Saktiņa""",Ineta Indriksone,"40,5",I pakāpe,"40,5",0
Jaunjelgavas novads,Aizkraukles apriņķis,Bērni,"Jaunjelgavas novada kultūras nama Bērnu deju kolektīvs ""Kodoliņš""",Gunita Krievāne,"40,3",I pakāpe,"40,3",0
Ogres novads,Ogres apriņķis,Bērni,Ogres novada Ķeipenes pagasta Ķeipenes tautas nama bērnu deju kolektīvs “Zeltupīte”,Agnese Lepse,"40,2",I pakāpe,"40,2",0
Talsu novads,Talsu apriņķis,Bērni,Talsu sākumskolas bērnu deju kolektīvs “Sprīdīši”,Iveta Kālberga,"40,2",I pakāpe,"40,2",0
Ogres novads,Ogres apriņķis,Bērni,Ogres novada Ogresgala pagasta Ogresgala tautas nama bērnu deju kolektīvs “Ābolēni”     ,Egita Tontegode,"40,0",I pakāpe,"40,0",0
Valmieras pilsēta,Valmieras apriņķis,Bērni,"Valmieras sākumskolas Bērnu deju kolektīvs ""Pērkonītis""",Liesma Ērgle,"40,0",I pakāpe,"40,0",0
Mazsalacas novads,Valmieras apriņķis,Bērni,"Mazsalacas vidusskolas Bērnu deju kolektīvs ""Ķipari""",Aija Vidovska,"39,8",II pakāpe,"39,8",0
Pārgaujas novads,Cēsu apriņķis,Bērni,Pārgaujas novada Stalbes vidusskolas 1.-4. klašu deju kolektīvs,Ginta Berķe,"39,5",II pakāpe,"39,5",0
Lubānas novads,Madonas apriņķis,Bērni,Lubānas novada Lubānas vidusskolas bērnu deju kolektīvs   ,Inese Straume,"39,3",II pakāpe,"39,3",0
Ogres novads,Ogres apriņķis,Bērni,Ogres novada Lauberes pagasta Lauberes kultūras nama bērnu deju kolektīvs “Bitītes”   ,Inese Putroma,"39,3",II pakāpe,"39,3",0
Tukuma novads,Tukuma apriņķis,Bērni,Tukuma novads Tukuma Mākslas skolas bērnu deju kolektīvs „Luste,Madara Augule,"38,8",II pakāpe,"38,8",0
Ogres novads,Ogres apriņķis,Bērni,Ogres novada Suntažu vidusskolas bērnu deju kolektīvs   ,Ināra Ozoliņa,"38,3",II pakāpe,"38,3",0
Tukuma novads,Tukuma apriņķis,Bērni,Tukuma novada Tukuma 2.pamatskolas bērnu deju kolektīvs,Juris Poga,"38,2",II pakāpe,"38,2",0
Aizkraukles novads,Aizkraukles apriņķis,Bērni,"Aizkraukles novada kultūras nama Aizkraukles pagasta Bērnu deju kolektīvs ""Aizkrauklēni""",Una Stakle,"37,5",II pakāpe,"37,5",0
